id,text,label
7.11E+17,"RT @gloed_up: #AnthonyCage was bloodied at St. Louis Trump rally. Spread this like wild fire#TrumpRallyChi #BlackToLive https://t.co/ChJGHду_",negative
7.11E+17,Ep. 91 - Will I Finally Get On The Trump Train? https://t.co/xmOpoA2BUl,neutral
7.11E+17,"RT @IcarusPundit: Things like this used to be jokes.Now I have to give (almost) every alternative at least token consideration.  https://ду_",neutral
7.11E+17,"RT @immigrant4trump: Mitt Romney announces he will be voting for Ted Cruz, Another Reason To Vote Trump @MittRomney #Trump2016 #VoteTrump hду_",positive
7.11E+17,"RT @nicknamejed: Word to the unwise: Establishment turning to Cruz as last bulwark to stop Trump does not make Cruz establishment. https:/ду_",neutral
7.11E+17,MSM NEWSBREAK: Fabio is a Nazi! https://t.co/XTxuZjwuJ9,neutral
7.11E+17,The Wichita State Mascot Looks Like Donald Trump And It's Freaking Us Out: Meet .. #news https://t.co/TcAxZGW8m8 https://t.co/7FA0lBOdCH,neutral
7.11E+17,"well worth your time too --&gt;&gt; No, Not Trump, Not Ever https://t.co/3sXM8rzPS7",negative
7.11E+17,RT @brenz1: Paul Ryan said he isn't running &amp; not up for nominee Just fund raising for @GOP In addition TRUMP LANDSLIDE VICTORY https://t.cду_,neutral
7.11E+17,RT @HarrietBaldwin: Truth! https://t.co/Y2lyNiNsIC,negative
7.11E+17,RT TMZ: Donald Trump -- Letter With Suspicious White Powder Sent to Son https://t.co/Sl94TnsDj4,negative
7.11E+17,Scarlet дуЦTду»: Trump foes дуЦblacklistду» supporters https://t.co/PXqIf0QLbQ via @worldnetdaily,negative
7.11E+17,"RT @TheThreeFuries: .#AlwaysTrump#OnlyTrump#MakeAmericaGreatAgainTogether, FOR AMERICATRUE PATRIOTS for @realDonaldTrump!. https:ду_",positive
7.11E+17,Trump 20 16 play the people's game of cards and TRUMP The opposition from power https://t.co/oBor9kNBsx,positive
7.11E+17,Trump intermingling business with politics as he campaigns (from @AP) https://t.co/GEzAekYioP,neutral
7.11E+17,"RT @chuckwoolery: I think Cruz has made a massive mistake miscalculation, or what ever. Blaming Trump and agreeing with the left and MSM foду_",neutral
7.11E+17,"@becket @aterkel so when the Beatles told us about working like a dog, were they secretly brainwashing Trump? https://t.co/UQEuyCKlvG",negative
7.11E+17,RT @charley047: @linksteroh @CrimsonGash Time for Democrats to unite against the Trump/Cruz threat to America.,negative
7.11E+17,If Mr Trump wasn't worried about the contested/Brokered Convention process he wouldn't have his cronies out everyday trying to dissuade us,negative
7.11E+17,RT @WashTimes: Ted Cruz: A vote for John Kasich in #Utah is a vote for Donald Trump https://t.co/iLiV9mSIRo #TedCruz https://t.co/Ri0q1HJc3H,negative
7.11E+17,RT @GroupAnon: Secret Service investigating reports that Anonymous hacked Donald Trump https://t.co/6ivFpKGfg8 https://t.co/9j3Qj4dtix,neutral
7.11E+17,"RT @ResistTyranny: We ARE irate and tireless.#Trump WILL be President.https://t.co/QXDXzMaSa3#DefendTrump #Trump2016 https://t.co/1H1ду_",positive
7.11E+17,"RT @tedcruz: Andrew Breitbart on Donald Trump... WATCH --&gt;https://t.co/ZAoGxJBbGA",neutral
7.11E+17,"RT @seanhannity: .@newtgingrich: думYouду»re either for the Republican nominee, whether itду»s Trump or Cruz, or youду»re for the election of @Hillду_",neutral
7.11E+17,"RT @Johnatsrs1949: #Live Stream: Donald Trump Town Hall in Salt Lake City, UT (3-18-16)  7:00 PM &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;  https://t.co/qRJiNRf0or httpду_",neutral
7.11E+17,@kirkz2006 @swishnelson @MattWalshBlog Trump is far left of me. I want to keep him out of power. Voting for him is losing.,negative
7.11E+17,"RT @tweety07191959: Poll: Donald Trump Hits 65 Percent in New York, More than 50 Percent Ahead of Ted Cruz -... https://t.co/vKCP8WsiyH viaду_",neutral
7.11E+17,RT @Art_Mofo: Kid Rock endorses @realDonaldTrump! #Trump #TrumpTrain #AlwaysTrump #Trump2016 https://t.co/U8FoJOFIMm,positive
7.11E+17,Mexican people are using the hashtag #MxcontraTrump to take Trump down https://t.co/9a37EfY49O #Voices #News #Justду_ https://t.co/spVXonxGaL,negative
7.11E+17,Lou Reed endorses @realDonaldTrump! #Trump #TrumpTrain #AlwaysTrump #Trump2016 https://t.co/PuqrSwMeE2,positive
7.11E+17,RT @dawnellemurray: PLEASE RETWEET  Show what a HYPOCRITE @MittRomney is.  #Trump's money was good enough 4 him when he was begging 4 it htду_,neutral
7.11E+17,RT @BradThor: Yup. https://t.co/1TzZ9lXYf5,negative
7.11E+17,RT @WDFx2EU: Inside Cruzду»s state-by-state plan to defeat Trump https://t.co/5fDLa1qwCy,negative
7.11E+17,"@abc4utah @realDonaldTrump In that case, Trump should end up with zero votes.",negative
7.11E+17,"RT @NewportLost: Illegal is not a race it is a crime. Deport 4 the American worker. #OnlyTrump can #MAGAhttps://t.co/1UjYdXQPen https://t.ду_",positive
7.11E+17,RT @trrvisXX: When Trump and Clinton your leading presidential candidates... https://t.co/uSm1m501an,neutral
7.11E+17,"@6666913 yeah, you literally cannot support donald trump",negative
7.11E+17,Trump reaps what media and GOP have sown: DiManno https://t.co/eLE0wbLcAq via @torontostar,neutral
7.11E+17,So people are taking action to expose and destroy Donald Trump. I'm HERE https://t.co/dChAMsfZd3,negative
7.11E+17,BUSTED: Ben Shapiro Caught Shilling For Pro-Cruz Billionaires Against Trump #GrabGate #TCOT #WakeUpAmerica #PJNET https://t.co/HxSLNjEcwQ,negative
7.11E+17,"RT @JudgeMoroz: Indeed! All of America &amp; those who cherish Western Civilization have been waiting for @realDonaldTrump _ф€__ф€џ https://t.co/Sb6ду_",positive
7.11E+17,"RT @LindaSuhler: Don't Be Fooled, Anti-Trump Protest Movement Really 'Professional Agitators'#Trump2016https://t.co/DokKdAwj0r https://t.ду_",positive
7.11E+17,"RT @heavenlyitalian: Newt Gingrich:  "" You are either for Trump or Hillary, there is no middle ground!"" https://t.co/MO2pmeA6fv",neutral
